startNode,endNode,taxiCabDistance,top,floorCross
FSTAI00201,FHALL01001,FALSE,NA,FALSE
FHALL01001,FHALL01301,FALSE,NA,FALSE
FHALL01301,FDEPT00101,FALSE,NA,FALSE
FHALL00901,FHALL01301,FALSE,NA,FALSE
FHALL00901,FHALL00801,FALSE,NA,FALSE
FHALL01101,FHALL00901,FALSE,NA,FALSE
FHALL01201,FHALL01101,FALSE,NA,FALSE
FHALL01201,AEXIT00401,FALSE,NA,FALSE
FHALL01401,FHALL01101,FALSE,NA,FALSE
FSERV00201,FHALL01401,FALSE,NA,FALSE
FHALL01401,FHALL01501,FALSE,NA,FALSE
FHALL01501,FHALL01601,FALSE,NA,FALSE
FHALL03201,FHALL01601,FALSE,NA,FALSE
FHALL03201,FDEPT00601,FALSE,NA,FALSE
FHALL01801,FHALL03201,FALSE,NA,FALSE
FHALL01701,FHALL01801,FALSE,NA,FALSE
FDEPT00301,FHALL01701,FALSE,NA,FALSE
FHALL01701,FSERV00401,FALSE,NA,FALSE
FHALL00701,FHALL01801,TRUE,TRUE,FALSE
WELEV00L01,FHALL00701,FALSE,NA,FALSE
FHALL00601,WELEV00L01,FALSE,NA,FALSE
FHALL00501,WELEV00L01,FALSE,NA,FALSE
FHALL00501,FSERV00101,FALSE,NA,FALSE
FHALL00501,FHALL00401,FALSE,NA,FALSE
FRETL00101,FHALL00401,FALSE,NA,FALSE
FHALL00401,FHALL00301,FALSE,NA,FALSE
FHALL00301,FHALL00201,FALSE,NA,FALSE
FRETL00101,FEXIT00101,FALSE,NA,FALSE
FSTAI00101,FHALL00201,FALSE,NA,FALSE
FHALL00201,FHALL00101,FALSE,NA,FALSE
FHALL03101,FHALL00201,FALSE,NA,FALSE
FREST00101,FHALL03101,FALSE,NA,FALSE
FHALL03101,FHALL02601,FALSE,NA,FALSE
FHALL02601,FHALL02701,FALSE,NA,FALSE
FHALL02701,FHALL03301,FALSE,NA,FALSE
FHALL03301,FDEPT00501,FALSE,NA,FALSE
FDEPT00501,FEXIT00301,FALSE,NA,FALSE
FHALL02601,FHALL02501,FALSE,NA,FALSE
FHALL02501,FHALL02401,FALSE,NA,FALSE
FHALL02501,FSTAI00301,FALSE,NA,FALSE
FHALL02401,FHALL02301,FALSE,NA,FALSE
FHALL02301,FLABS00101,FALSE,NA,FALSE
FHALL02301,WELEV00M01,FALSE,NA,FALSE
WELEV00M01,FHALL02201,FALSE,NA,FALSE
